FID,CTYUA24CD,CTYUA24NM,CTYUA24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
99,E08000037,Gateshead, ,420158,559652,-1.68696,54.93115,142335872.399673,87361.9512970362,b1d9f80f-d99d-4c63-b141-d8ff19b9dc2a
100,E09000001,City of London, ,532382,181358,-0.09352,51.51564,2884699.89755249,9017.03862422564,cd6abff6-d834-4233-8162-1e032faee1e5
101,E09000002,Barking and Dagenham, ,547757,185111,0.129479,51.54556,36098561.2793961,39831.9178775268,b170d382-920c-4b01-9e30-5efd78ae0d4c
102,E09000003,Barnet, ,523473,191752,-0.2182,51.61107,86804123.716156,49835.3939688223,27323b80-7682-4c15-904d-bbbba0f82392
103,E09000004,Bexley, ,549202,175434,0.146212,51.45823,60583234.7424774,46070.1272726542,6d6bdbda-9374-49ca-b6a8-57cae16fe5f8
104,E09000005,Brent, ,519615,186465,-0.27569,51.56439,43224583.8391571,37673.1768403499,5d760e1f-015d-411b-a48b-b153ca81c52a
105,E09000006,Bromley, ,542036,165707,0.039246,51.37266,150112945.239502,74667.915693105,f2cbbc07-67c4-4802-9527-3575c2eb0daf
106,E09000007,Camden, ,527491,184283,-0.16291,51.54305,21787187.321228,25911.6543249611,19200bdc-aea7-44de-88f8-452f5fdc1b03
107,E09000008,Croydon, ,533922,164745,-0.07762,51.36599,86509594.34758,57396.9438936852,9bbd2eec-c516-40aa-8074-3ff93b245dca
108,E09000009,Ealing, ,517055,181959,-0.3141,51.52443,55552409.6881104,46637.5750207304,d36eff96-36c5-480e-b5d0-7a671c6acc8d
109,E09000010,Enfield, ,532831,196198,-0.08144,51.6489,82153556.7403412,40430.7322477416,ac493bd3-8c72-419f-8282-2c05dc15d5dd
110,E09000011,Greenwich, ,542507,175878,0.050093,51.46394,47294289.5310059,46299.8251478046,7ad19c36-f9a2-416e-a034-c0575279ea4f
111,E09000012,Hackney, ,534560,185787,-0.06046,51.55493,19046919.6333618,25019.1446071352,4ce885f9-4b53-46f3-9a79-c2fc3da5a81f
112,E09000013,Hammersmith and Fulham, ,523867,177993,-0.21735,51.48733,16389042.986351,23431.2625916443,63213e36-f937-4942-a09d-452217cdab69
113,E09000014,Haringey, ,531260,189349,-0.1067,51.58772,29604152.1713104,28392.8374607753,5e344109-7309-4c2d-a51a-7db0f9962251
