Constituency,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
"Birmingham, Perry Barr Boro Const",E14000566,1574,2131,2131,1574,2131,2131,1575,2130,2130,3.3%,4.5%,4.5%,3.3%,4.5%,4.5%,3.3%,4.5%,4.5%
"Birmingham, Selly Oak Boro Const",E14000567,1494,1866,1866,1764,1866,1866,1764,1866,1866,3.0%,3.8%,3.8%,3.6%,3.8%,3.8%,3.6%,3.8%,3.8%
"Birmingham, Yardley Boro Const",E14000568,278,514,514,490,748,748,488,746,746,0.6%,1.0%,1.0%,1.0%,1.5%,1.5%,1.0%,1.5%,1.5%
Bishop Auckland Co Const,E14000569,1004,1930,1932,1008,2063,2065,1008,2067,2069,1.6%,3.1%,3.1%,1.6%,3.3%,3.3%,1.6%,3.3%,3.3%
Blackburn Boro Const,E14000570,1026,1715,1715,1125,1862,1862,1125,1862,1862,2.0%,3.4%,3.4%,2.2%,3.6%,3.6%,2.2%,3.6%,3.6%
Blackley and Broughton Boro Const,E14000571,310,5874,6042,309,5914,6176,572,6125,6176,0.6%,10.5%,10.8%,0.6%,10.6%,11.0%,1.0%,10.9%,11.0%
Blackpool North and Cleveleys Boro Const,E14000572,726,8195,15243,548,7966,15243,549,7962,15243,1.5%,17.0%,31.5%,1.1%,16.5%,31.5%,1.1%,16.5%,31.5%
Blackpool South Boro Const,E14000573,117,918,973,117,918,973,117,918,973,0.2%,1.7%,1.8%,0.2%,1.7%,1.8%,0.2%,1.7%,1.8%
Blaydon Boro Const,E14000574,334,771,771,398,677,677,404,677,677,0.7%,1.6%,1.6%,0.8%,1.4%,1.4%,0.8%,1.4%,1.4%
Blyth Valley Boro Const,E14000575,151,797,797,151,799,809,155,809,809,0.3%,1.8%,1.8%,0.3%,1.8%,1.9%,0.4%,1.9%,1.9%
Bognor Regis and Littlehampton Co Const,E14000576,1520,5071,5680,1520,5071,5680,1561,6362,6969,2.7%,9.0%,10.0%,2.7%,9.0%,10.0%,2.8%,11.3%,12.3%
Bolsover Co Const,E14000577,388,474,478,388,474,478,388,474,478,0.7%,0.9%,0.9%,0.7%,0.9%,0.9%,0.7%,0.9%,0.9%
Bolton North East Boro Const,E14000578,929,1082,1103,868,1022,1043,916,1146,1176,1.8%,2.1%,2.2%,1.7%,2.0%,2.0%,1.8%,2.2%,2.3%
Bolton South East Boro Const,E14000579,162,295,295,346,955,955,349,958,958,0.3%,0.6%,0.6%,0.7%,1.9%,1.9%,0.7%,1.9%,1.9%
Bolton West Co Const,E14000580,993,1355,1355,842,1126,1126,843,1127,1128,2.0%,2.7%,2.7%,1.7%,2.3%,2.3%,1.7%,2.3%,2.3%
